name,bizcode,address,dongcode,dong
일오삼케스팅,22,서울특별시 강동구 둔촌동 147-3번지 ,11741,둔촌동
VIP자동차 공업사,21,서울특별시 강동구 성내동 548번지 ,11741,성내동
세진실업,22,서울특별시 강동구 길동 382-4번지 ,11741,길동 
명성주얼리,22,서울특별시 강동구 고덕동 172-9번지 ,11741,고덕동
정운금속,22,서울특별시 강동구 고덕동 501-3번지 지하1층 ,11741,고덕동
수경,22,서울특별시 강동구 고덕동 636-6번지 ,11741,고덕동
세정섬유,22,서울특별시 강동구 둔촌동 427-3번지 ,11741,둔촌동
신일섬유,22,서울특별시 강동구 둔촌동 67-10번지 ,11741,둔촌동
해뜨는주유소,22,서울특별시 강동구 강일동 642-1번지 ,11741,강일동
아름체인,22,서울특별시 강동구 성내동 499-15번지 ,11741,성내동
의료법인강동성심병원,22,서울특별시 강동구 길동 445번지 ,11741,길동 
강동구청(압축장),22,서울특별시 강동구 고덕동 55-5번지 ,11741,고덕동
(주)나엔,22,서울특별시 강동구 고덕동 360번지 ,11741,고덕동
한국보훈복지의료공단중앙보훈병원,22,서울특별시 강동구 둔촌동 6-2번지 ,11741,둔촌동
암사아리수정수센터,22,서울특별시 강동구 암사동 산 10번지 ,11741,암사동
일오삼케스팅,22,서울특별시 강동구 둔촌동 147-3번지 ,11741,둔촌동
태양체인,22,서울특별시 강동구 성내동 544-7번지 ,11741,성내동
아담쥬얼리,22,서울특별시 강동구 성내동 434-31번지 2층 ,11741,성내동
명성주얼리,22,서울특별시 강동구 고덕동 172-9번지 ,11741,고덕동
정운금속,22,서울특별시 강동구 고덕동 501-3번지 지하1층 ,11741,고덕동
선사주유소,22,서울특별시 강동구 암사동 457-24번지 ,11741,암사동
해뜨는주유소,22,서울특별시 강동구 강일동 642-1번지 ,11741,강일동
태양체인,22,서울특별시 강동구 성내동 544-7번지 ,11741,성내동
에쓰-오일(주) 코알라주유소,22,서울특별시 강동구 성내동 319-1번지 ,11741,성내동
프로오토경정비,22,서울특별시 강동구 성내동 420-4번지 ,11741,성내동
지에스칼텍스(주) 직영 신월점,22,서울특별시 강동구 성내동 439-16번지 ,11741,성내동
GS넥스테이션(주) 동서울주유소,22,서울특별시 강동구 상일동 443-8번지 ,11741,상일동
의료법인강동성심병원,22,서울특별시 강동구 길동 445번지 ,11741,길동 
둔촌충전소,22,서울특별시 강동구 둔촌동 115-1번지 ,11741,둔촌동
동선자동차공업사,22,서울특별시 강동구 천호동 230-7번지 ,11741,천호동
은성주유소,22,서울특별시 강동구 천호동 308-11번지 ,11741,천호동
코스모24시셀프세차장,22,서울특별시 강동구 천호동 314-1번지 ,11741,천호동
그린케스팅,22,서울특별시 강동구 상일동 285-4번지 ,11741,상일동
아담쥬얼리,22,서울특별시 강동구 성내동 434-31번지 2층 ,11741,성내동
(주)선우지에스엠,22,서울특별시 강동구 길동 368-5번지 ,11741,길동 
세정섬유,22,서울특별시 강동구 둔촌동 427-3번지 ,11741,둔촌동
신일섬유,22,서울특별시 강동구 둔촌동 67-10번지 ,11741,둔촌동
한양24시셀프세차,22,서울특별시 강동구 길동 320-2번지 10통11반 ,11741,길동 
