업체(시설)명,인허가번호,업종코드,업종명,지도점검일자,점검기관,점검기관명,지도점검구분,처분대상여부,점검사항,점검결과,소재지도로명주소,소재지주소
청와대 제 101 경비단,3.00E+17,22,폐수배출업소관리,20171130,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 궁정동 8-1번지 
혜화카프라자,3.00E+17,22,폐수배출업소관리,20171130,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 명륜1가 32-2번지 
혜화카프라자,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 명륜1가 32-2번지 
삼성세차장,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 효자동 60-1번지 
세란병원 종합검진센터,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 통일로16길 4-1 지하2층 (무악동 시니어즈 하우징 더 골든 팰리스),서울특별시 종로구 무악동 66-3번지 
세란병원,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 무악동 32-2번지 
(주)지에스이앤알 평창주유소,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 평창문화로 135 (평창동 평창주유소),서울특별시 종로구 평창동 80-1번지 
상명대학교,3.00E+17,22,폐수배출업소관리,20171123,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 홍지동 7번지 상명대학교 
국군서울지구병원,3.00E+17,22,폐수배출업소관리,20171116,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,,서울특별시 종로구 삼청동 25-1번지 
서울적십자 병원,3.00E+17,22,폐수배출업소관리,20171116,3000000,서울특별시 종로구,정기,N,폐수배출시설 및 방지시설 정상가동 여부,,서울특별시 종로구 새문안로 9 (평동),서울특별시 종로구 평동 164번지 
