no,shopname,localname,code1,codename1,code2,codename2,code3,codename3,code4,codename4,citycode,city,gucode,gu,dongcode,dong,jibuaddress,address,oldpostcode,postcode,lng,lat
19905471,와라와라호프,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,"기타 주점업",11,서울특별시,11680,강남구,1168010600,대치동,"서울특별시 강남구 대치동 604","서울특별시 강남구 남부순환로 2933",135280,6280,""127.061026050567"",""37.4939223326479""
19911397,커피빈코리아선릉로93길점,코리아선릉로93길점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11680,강남구,1168010100,역삼동,"서울특별시 강남구 역삼동 696-42","서울특별시 강남구 선릉로93길 6",135080,6149,""127.047883157395"",""37.505675040058""
19911801,프로포즈,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,"기타 주점업",11,서울특별시,11545,금천구,1154510200,독산동,"서울특별시 금천구 독산동 162-1","서울특별시 금천구 가산로 34-6",153010,8545,""126.899220370682"",""37.4717112331268""
19912201,싱싱커피&토스트,,Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",26,부산광역시,26530,사상구,2653010400,괘법동,"부산광역시 사상구 괘법동 578","부산광역시 사상구 괘감로 37",617726,46977,""128.980455279266"",""35.1597741758499""
19932756,가락사우나내스낵,,F,생활서비스,F09,대중목욕탕/휴게,F09A02,사우나/증기탕/온천,S96121,욕탕업,11,서울특별시,11710,송파구,1171010500,석촌동,"서울특별시 송파구 석촌동 256","서울특별시 송파구 가락로 71",138846,5690,""127.104070564081"",""37.5002486691845""
19983535,초밥왕,,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,I56113,"일식 음식점업",11,서울특별시,11710,송파구,1171010200,신천동,"서울특별시 송파구 신천동 7-28","서울특별시 송파구 올림픽로 293-19",138735,5510,""127.102489784096"",""37.5151491920485""
19964615,석봉토스트,,Q,음식,Q07,패스트푸드,Q07A10,토스트전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11215,광진구,1121510300,구의동,"서울특별시 광진구 구의동 77-47","서울특별시 광진구 자양로39길 20",143200,4992,""127.088387455895"",""37.5492452077814""
19975850,허술한집,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,"분식 및 김밥 전문점",11,서울특별시,11500,강서구,1150010800,공항동,"서울특별시 강서구 공항동 45-89","서울특별시 강서구 공항대로3길 9",157812,7619,""126.809957472555"",""37.5620126925293""
19977290,피자마루,약수점,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11140,중구,1114016200,신당동,"서울특별시 중구 신당동 372-95","서울특별시 중구 동호로7길 37",100450,4596,""127.010861306352"",""37.5521533135816""
19979960,홍능갈비,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,"한식 음식점업",11,서울특별시,11500,강서구,1150010300,화곡동,"서울특별시 강서구 화곡동 1086-3","서울특별시 강서구 화곡로18길 31",157010,7718,""126.836078008217"",""37.5389273478103""
20004707,커피빈,코리아교대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11650,서초구,1165010800,서초동,"서울특별시 서초구 서초동 1657-5","서울특별시 서초구 서초중앙로 118",137070,6634,""127.014217033954"",""37.4923876590647""
20006330,코롱식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11545,금천구,1154510100,가산동,"서울특별시 금천구 가산동 60-4","서울특별시 금천구 디지털로9길 56",153770,8512,""126.886859445485"",""37.48038965624""
19993199,고려대학교교육관쎄리오점,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11290,성북구,1129012500,안암동5가,"서울특별시 성북구 안암동5가 1-2","서울특별시 성북구 안암로 145",136701,2841,""127.031701809695"",""37.5884849860916""
19996819,전주식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11530,구로구,1153010100,신도림동,"서울특별시 구로구 신도림동 406-1","서울특별시 구로구 경인로 577",152887,8212,""126.880898201104"",""37.5040668669735""
19987359,아구본가첨벙,,Q,음식,Q03,일식/수산물,Q03A06,아구전문,I56111,"한식 음식점업",11,서울특별시,11290,성북구,1129013400,길음동,"서울특별시 성북구 길음동 20-1","서울특별시 성북구 동소문로 315",136719,2730,""127.028725560472"",""37.6083915431599""
20020124,스완카페트,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11560,영등포구,1156013300,대림동,"서울특별시 영등포구 대림동 604-56","서울특별시 영등포구 도신로10가길 11-1",150070,7379,""126.897710439978"",""37.5036933368184""
19969945,에브리돈,북가좌점,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11410,서대문구,1141011900,북가좌동,"서울특별시 서대문구 북가좌동 307-2","서울특별시 서대문구 응암로 65",120130,3681,""126.910288305861"",""37.5790288661421""
19969947,대왕농산,,D,소매,D01,음/식료품소매,D01A13,청과물소매,G47214,"과실 및 채소 소매업",11,서울특별시,11230,동대문구,1123010300,제기동,"서울특별시 동대문구 제기동 635-18","서울특별시 동대문구 왕산로35길 7",130862,2572,""127.043189062088"",""37.5800728147996""
19970556,솔로몬피자,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11215,광진구,1121510900,군자동,"서울특별시 광진구 군자동 100-17","서울특별시 광진구 군자로 99-2",143839,5001,""127.071184021135"",""37.552102622032""
19971398,우리식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11215,광진구,1121510700,화양동,"서울특별시 광진구 화양동 507-3","서울특별시 광진구 광나루로26길 16",143926,5022,""127.076811507571"",""37.5454609583284""
19971658,크리스피크림,롯데청량리점,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,11,서울특별시,11230,동대문구,1123010400,전농동,"서울특별시 동대문구 전농동 620-69","서울특별시 동대문구 왕산로 200",130796,2559,""127.045021605777"",""37.5801957798395""
19973708,왕실,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11140,중구,1114012700,명동2가,"서울특별시 중구 명동2가 105","서울특별시 중구 남대문로 52-13",100810,4535,""126.982418808029"",""37.562273608482""
19974666,신호건강원,,D,소매,D10,건강/미용식품,D10A07,건강원,G47216,"건강보조식품 소매업",11,서울특별시,11500,강서구,1150010300,화곡동,"서울특별시 강서구 화곡동 369-53","서울특별시 강서구 가로공원로82길 42-3",157010,7765,""126.840285055847"",""37.5354186632593""
19989422,Mr.피터팬,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,"분식 및 김밥 전문점",11,서울특별시,11710,송파구,1171010300,풍납동,"서울특별시 송파구 풍납동 399-17","서울특별시 송파구 올림픽로45길 22",138040,5537,""127.115873391566"",""37.5274774824996""
19999875,제이씨코퍼레이션,,D,소매,D02,선물/팬시/기념품,D02A05,토산품/기념품점,G47842,"관광 민예품 및 선물용품 소매업",11,서울특별시,11560,영등포구,1156012700,양평동3가,"서울특별시 영등포구 양평동3가 24","서울특별시 영등포구 선유서로 115",150103,7269,""126.885320162819"",""37.5261391555287""
20013190,청암회관,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11350,노원구,1135010600,중계동,"서울특별시 노원구 중계동 364-14","서울특별시 노원구 한글비석로8길 29",139220,1737,""127.078464379963"",""37.6482469290036""
