name,bizcode,address,dongcode,dong
현대오일뱅크(주)직영 한양주유소,22,서울특별시 강남구 신사동 638번지 ,11680,신사동
동신정비공업(주),21,서울특별시 강남구 역삼동 735-35번지 ,11680,역삼동
한국지역난방공사강남지사,22,서울특별시 강남구 수서동 732번지 ,11680,수서동
SK네트웍스(주)오토조이주유소,22,서울특별시 강남구 청담동 131-17번지 ,11680,청담동
로데오주유소,22,서울특별시 강남구 청담동 98-8번지 ,11680,청담동
쿨&Guy,22,서울특별시 강남구 청담동 125-9번지 ,11680,청담동
청담남부현대자동차,22,서울특별시 강남구 청담동 44-14번지 ,11680,청담동
현대오토피아 삼성점,22,서울특별시 강남구 삼성동 44-13번지 ,11680,삼성동
삼성동부점현대자동차,22,서울특별시 강남구 삼성동 109-12번지 ,11680,삼성동
보윤사,22,서울특별시 강남구 삼성동 8-3번지 ,11680,삼성동
티앤씨병리과의원,22,서울특별시 강남구 삼성동 38-14번지 ,11680,삼성동
덴트닥터칼라,22,서울특별시 강남구 신사동 628-6번지 ,11680,신사동
(주)앤저빈,22,서울특별시 강남구 삼성동 38-10번지 (1층~5층) ,11680,삼성동
(주)디자인디포,22,서울특별시 강남구 삼성동 115-17번지 2층 ,11680,삼성동
미성,22,서울특별시 강남구 대치동 898-10번지 ,11680,대치동
우성,22,서울특별시 강남구 대치동 907-4번지 ,11680,대치동
이화의원,22,서울특별시 강남구 개포동 1228-6번지 남현빌딩 2 4층 ,11680,개포동
동양검사기술(주),22,서울특별시 강남구 개포동 1237-15번지 ,11680,개포동
서울세관,22,서울특별시 강남구 논현동 71번지 ,11680,논현동
중앙관세분석소,22,서울특별시 강남구 논현동 71번지 ,11680,논현동
서울의료원 부설연구소,22,서울특별시 강남구 삼성동 171번지 ,11680,삼성동
디자인파크,22,서울특별시 강남구 신사동 516-11번지 상전빌딩 2층 ,11680,신사동
애니카랜드 논현점,22,서울특별시 강남구 청담동 120-2번지 ,11680,청담동
청강스페이스,22,서울특별시 강남구 신사동 518-8번지 (2층) ,11680,신사동
그래픽월드,22,서울특별시 강남구 신사동 515-6번지 ,11680,신사동
투민,22,서울특별시 강남구 신사동 512-1번지 (3층) ,11680,신사동
민컴,22,서울특별시 강남구 신사동 516번지 ,11680,신사동
메리트시스템,22,서울특별시 강남구 논현동 158-33번지 ,11680,논현동
한울그래픽,22,서울특별시 강남구 신사동 515-11번지 한성빌딩 4층 ,11680,신사동
다와,22,서울특별시 강남구 신사동 585-2번지 ,11680,신사동
하쉬나,22,서울특별시 강남구 신사동 662-9번지 3층 302호 ,11680,신사동
비가,22,서울특별시 강남구 신사동 613-1번지 영훈빌딩 203 ,11680,신사동
보현사,22,서울특별시 강남구 신사동 613-1번지 영훈빌딩 2층2호 ,11680,신사동
코션코리아역삼,22,서울특별시 강남구 역삼동 834-68번지 ,11680,역삼동
삼보공예,22,서울특별시 강남구 신사동 615-1번지 코끼리상가 305호,11680,신사동
진석,22,서울특별시 강남구 신사동 613-9번지 ,11680,신사동
누보,22,서울특별시 강남구 신사동 613-9번지 ,11680,신사동
미보랑,22,서울특별시 강남구 신사동 613-9번지 주광빌딩 지하 ,11680,신사동
예진,22,서울특별시 강남구 신사동 614-7번지 ,11680,신사동
